model,layer,region,test_R_2,test_R_2,test_R_2,electrode
,,,mean,std,count,count
BERT,late,G_precentral,0.16788156628441203,0.05280159213196509,5,5
BERT,late,G_rectus,0.16663334892717765,0.06417483596341544,5,5
BERT,late,G_temp_sup-G_T_transv,0.1373283209294009,0.035577936738215334,2,2
BERT,late,G_temp_sup-Lateral,0.17120995420837914,0.05995330909284258,11,11
BERT,late,G_temporal_inf,0.12898500774538196,0.036915304838366754,2,2
BERT,late,G_temporal_middle,0.16903943690098402,0.0676326624677073,13,13
BERT,late,Hippocampus,0.13897574316423386,0.03399021323221282,13,13
BERT,late,Inf-Lat-Vent,0.1119636216291503,,1,1
BERT,late,Lat_Fis-ant-Horizont,0.19189386801286623,0.06287666509453846,2,2
BERT,late,Lat_Fis-post,0.15092564639443884,0.06028524847131205,7,7
BERT,late,Lateral-Ventricle,0.12898500774538196,0.036915304838366754,2,2
BERT,late,Pole_temporal,0.15953209152525263,0.0461516498492943,14,14
BERT,late,Putamen,0.12280357424733368,,1,1
BERT,late,S_calcarine,0.23635438427960986,,1,1
BERT,late,S_central,0.1373283209294009,0.035577936738215334,2,2
BERT,late,S_cingul-Marginalis,0.11666244271527038,0.00853618939407749,2,2
BERT,late,S_circular_insula_ant,0.10870990615827392,,1,1
BERT,late,S_circular_insula_inf,0.11573007580298249,0.012159290502387992,3,3
BERT,late,S_circular_insula_sup,0.14779828335789277,0.04315296828623254,7,7
BERT,late,S_collat_transv_ant,0.10870990615827392,,1,1
BERT,late,S_front_inf,0.1269245299126992,0.0235644914623966,6,6
BERT,late,S_front_middle,0.18509060602885768,0.10801862166052847,2,2
BERT,late,S_front_sup,0.10835601259041688,0.005101929630316563,2,2
BERT,late,S_interm_prim-Jensen,0.2146263102464281,,1,1
BERT,late,S_intrapariet_and_P_trans,0.11725940932204154,0.01769323403936844,2,2
BERT,late,S_oc-temp_lat,0.15040012651032741,0.047148370559610485,3,3
BERT,late,S_oc-temp_med_and_Lingual,0.1780773025102731,,1,1
BERT,late,S_orbital-H_Shaped,0.151548109145773,0.056270229277404334,13,13
BERT,late,S_orbital_med-olfact,0.17512846721115702,0.03609639148600652,4,4
BERT,late,S_parieto_occipital,0.1119636216291503,,1,1
BERT,late,S_pericallosal,0.12736513783219605,0.01818952966094143,3,3
BERT,late,S_postcentral,0.12269844012131526,,1,1
BERT,late,S_precentral-inf-part,0.1766862343325338,0.054030561405880966,7,7
BERT,late,S_suborbital,0.13594299906627652,0.010922297120090851,3,3
BERT,late,S_subparietal,0.19590009766951627,0.10262817851410445,2,2
BERT,late,S_temporal_inf,0.12250646617781709,0.020189706482653162,5,5
BERT,late,S_temporal_sup,0.16159424057955293,0.057121171621579966,13,13
BERT,late,S_temporal_transverse,0.10835601259041688,0.005101929630316563,2,2
BERT,middle,Amygdala,0.12317274374615737,0.015389542449046686,8,8
BERT,middle,G_and_S_cingul-Ant,0.14004806619227164,0.044761523405329975,15,15
BERT,middle,G_and_S_cingul-Mid-Ant,0.11514930865211637,,1,1
BERT,middle,G_and_S_cingul-Mid-Post,0.17438664305807883,,1,1
BERT,middle,G_front_inf-Opercular,0.17438664305807883,,1,1
BERT,middle,G_front_inf-Triangul,0.15254319139658337,0.017823310237220526,3,3
BERT,middle,G_front_middle,0.13821532604521056,0.028312229274534608,8,8
BERT,middle,G_front_sup,0.11514930865211637,,1,1
BERT,middle,G_insular_short,0.11514930865211637,,1,1
BERT,middle,G_oc-temp_med-Lingual,0.17438664305807883,,1,1
BERT,middle,G_oc-temp_med-Parahip,0.13545581681676544,0.04367572144765864,2,2
BERT,middle,G_occipital_middle,0.19364769681045402,0.11001876424124592,2,2
BERT,middle,G_pariet_inf-Angular,0.12577498863626946,0.025099131207175975,3,3
BERT,middle,G_pariet_inf-Supramar,0.1971829542728034,0.050069611381698596,4,4
BERT,middle,G_postcentral,0.18110626997100832,,1,1
BERT,middle,G_precentral,0.1381865598633324,0.03411151037550221,5,5
BERT,middle,G_rectus,0.15951464044176233,0.06199464609986848,4,4
BERT,middle,G_temp_sup-G_T_transv,0.11128506539502597,0.0004307220534186048,2,2
BERT,middle,G_temp_sup-Lateral,0.17768119745486227,0.06614159954170255,8,8
BERT,middle,G_temporal_inf,0.11224283799445478,0.01712927900606125,2,2
BERT,middle,G_temporal_middle,0.14775383663789565,0.03213782287541245,15,15
BERT,middle,Hippocampus,0.11840909688892415,0.015960969468675184,15,15
BERT,middle,Inf-Lat-Vent,0.13973126293780436,,1,1
BERT,middle,Lat_Fis-ant-Horizont,0.14925930965381287,0.022058611840438953,3,3
BERT,middle,Lat_Fis-ant-Vertical,0.1733493516971094,,1,1
BERT,middle,Lat_Fis-post,0.15802439336621277,0.06403450419952317,5,5
BERT,middle,Lateral-Ventricle,0.11604660706119846,0.02250862080838541,2,2
BERT,middle,Pole_temporal,0.14115760299291102,0.03123754590111253,15,15
BERT,middle,Putamen,0.10457241800791128,,1,1
BERT,middle,S_calcarine,0.1663392156256196,,1,1
BERT,middle,S_central,0.11128506539502597,0.0004307220534186048,2,2
BERT,middle,S_cingul-Marginalis,0.13183607870797565,,1,1
BERT,middle,S_circular_insula_sup,0.14104356082790964,0.03481335828890899,4,4
BERT,middle,S_collat_transv_ant,0.1319626054699644,,1,1
BERT,middle,S_front_inf,0.12250585011391513,0.027961424190997626,8,8
BERT,middle,S_front_middle,0.16283348435989287,,1,1
BERT,middle,S_front_sup,0.13546530594914247,0.012525940688197084,5,5
BERT,middle,S_interm_prim-Jensen,0.15475483511875643,,1,1
BERT,middle,S_intrapariet_and_P_trans,0.10799733598023809,0.006235972711458683,2,2
BERT,middle,S_oc-temp_lat,0.1355319569696339,0.04197029894035108,3,3
BERT,middle,S_oc-temp_med_and_Lingual,0.14937085519727794,0.03537766646619285,2,2
BERT,middle,S_oc_middle_and_Lunatus,0.157083645999342,,1,1
BERT,middle,S_occipital_ant,0.11585268255770498,,1,1
BERT,middle,S_orbital-H_Shaped,0.13063123135489108,0.02981190944868036,12,12
BERT,middle,S_orbital_lateral,0.1652164988482257,0.011501590799676005,2,2
BERT,middle,S_orbital_med-olfact,0.14346099944371954,0.02863259572342397,7,7
BERT,middle,S_parieto_occipital,0.1317717361444379,0.013786304810316497,3,3
BERT,middle,S_pericallosal,0.1733493516971094,,1,1
BERT,middle,S_postcentral,0.10799733598023809,0.006235972711458683,2,2
BERT,middle,S_precentral-inf-part,0.168814736328131,0.06374623104237044,5,5
BERT,middle,S_subparietal,0.24110178791891856,,1,1
BERT,middle,S_temporal_inf,0.11625928715744349,0.01477856664301732,6,6
BERT,middle,S_temporal_sup,0.1389631950722099,0.023233087535262667,16,16
BERT,middle,S_temporal_transverse,0.11857531163276018,0.018844744215432568,3,3
GPT,early,Amygdala,0.23494641130907168,,1,1
GPT,early,G_and_S_cingul-Ant,0.19090208468692094,0.10167770392141288,2,2
GPT,early,G_and_S_cingul-Mid-Post,0.3278537621339189,,1,1
GPT,early,G_and_S_subcentral,0.1075169699614108,,1,1
GPT,early,G_front_inf-Opercular,0.1977420041197615,0.06906845668211824,2,2
GPT,early,G_front_inf-Triangul,0.2277623197121268,,1,1
GPT,early,G_front_middle,0.26279907862523,,1,1
GPT,early,G_oc-temp_lat-fusifor,0.21768536604766486,0.15580163989007148,2,2
GPT,early,G_pariet_inf-Angular,0.19728640054018565,0.06274093551412455,4,4
GPT,early,G_pariet_inf-Supramar,0.16540774121193735,,1,1
GPT,early,G_postcentral,0.24658077820577662,,1,1
GPT,early,G_precentral,0.23613670943000042,0.03770628412089229,2,2
GPT,early,G_precuneus,0.1489032300337464,,1,1
GPT,early,G_rectus,0.23272327024018657,0.11320552629500093,3,3
