language_group,layer,condition,model,count,mean,std,min,25%,50%,75%,max
Non-English,late,GNS,GPT,2.0,0.11099362373352051,0.006760860263329533,0.10621297359466553,0.10860329866409302,0.11099362373352051,0.113383948802948,0.11577427387237549
Non-English,late,GNS,T5,1.0,0.20561754703521729,,0.20561754703521729,0.20561754703521729,0.20561754703521729,0.20561754703521729,0.20561754703521729
Non-English,late,GS,BERT,2.0,0.10651612281799316,0.0005613117284680867,0.10611921548843384,0.1063176691532135,0.10651612281799316,0.10671457648277283,0.10691303014755249
Non-English,late,GS,GPT,1.0,0.2072640061378479,,0.2072640061378479,0.2072640061378479,0.2072640061378479,0.2072640061378479,0.2072640061378479
Non-English,late,NGNS,BERT,1.0,0.11055111885070801,,0.11055111885070801,0.11055111885070801,0.11055111885070801,0.11055111885070801,0.11055111885070801
Non-English,late,NGNS,T5,1.0,0.10116660594940186,,0.10116660594940186,0.10116660594940186,0.10116660594940186,0.10116660594940186,0.10116660594940186
Non-English,late,a,GPT,1.0,0.11612838506698608,,0.11612838506698608,0.11612838506698608,0.11612838506698608,0.11612838506698608,0.11612838506698608
Non-English,late,a,T5,1.0,0.17519116401672363,,0.17519116401672363,0.17519116401672363,0.17519116401672363,0.17519116401672363,0.17519116401672363
Non-English,late,v,GPT,1.0,0.11261576414108276,,0.11261576414108276,0.11261576414108276,0.11261576414108276,0.11261576414108276,0.11261576414108276
Non-English,late,v,T5,2.0,0.19955745339393616,0.12580315874265185,0.11060118675231934,0.15507932007312775,0.19955745339393616,0.24403558671474457,0.288513720035553
Non-English,last,GNS,BERT,1.0,0.1583971381187439,,0.1583971381187439,0.1583971381187439,0.1583971381187439,0.1583971381187439,0.1583971381187439
Non-English,last,GNS,GPT,2.0,0.17587625980377197,0.09379376526353762,0.10955405235290527,0.14271515607833862,0.17587625980377197,0.20903736352920532,0.24219846725463867
Non-English,last,GNS,T5,2.0,0.10799255967140198,0.007911764255616517,0.1023980975151062,0.10519532859325409,0.10799255967140198,0.11078979074954987,0.11358702182769775
Non-English,last,GS,BERT,3.0,0.1135585109392802,0.005662525394822599,0.11020994186401367,0.1102895736694336,0.11036920547485352,0.11523279547691345,0.12009638547897339
Non-English,last,GS,GPT,2.0,0.14123937487602234,0.018352465862432207,0.1282622218132019,0.13475079834461212,0.14123937487602234,0.14772795140743256,0.15421652793884277
Non-English,last,GS,T5,2.0,0.11539149284362793,0.0005591200923455202,0.11499613523483276,0.11519381403923035,0.11539149284362793,0.11558917164802551,0.1157868504524231
Non-English,last,NGNS,GPT,2.0,0.15293148159980774,0.05461493997162926,0.11431288719177246,0.1336221843957901,0.15293148159980774,0.17224077880382538,0.19155007600784302
Non-English,last,NGNS,T5,2.0,0.27089160680770874,0.20192689991484566,0.1281077265739441,0.19949966669082642,0.27089160680770874,0.34228354692459106,0.4136754870414734
Non-English,last,a,GPT,1.0,0.11459553241729736,,0.11459553241729736,0.11459553241729736,0.11459553241729736,0.11459553241729736,0.11459553241729736
Non-English,last,a,T5,1.0,0.11341416835784912,,0.11341416835784912,0.11341416835784912,0.11341416835784912,0.11341416835784912,0.11341416835784912
