layer,condition,model,count,mean,std,min,25%,50%,75%,max
middle,v,T5,2.0,0.16838312149047852,0.017514207192399038,0.15599870681762695,0.16219091415405273,0.16838312149047852,0.1745753288269043,0.18076753616333008
late,GNS,BERT,3.0,0.13020203510920206,0.03171360308539212,0.10818016529083252,0.11202740669250488,0.11587464809417725,0.14121297001838684,0.16655129194259644
late,GNS,GPT,2.0,0.11099362373352051,0.006760860263329533,0.10621297359466553,0.10860329866409302,0.11099362373352051,0.113383948802948,0.11577427387237549
late,GNS,T5,1.0,0.20561754703521729,,0.20561754703521729,0.20561754703521729,0.20561754703521729,0.20561754703521729,0.20561754703521729
late,GS,BERT,2.0,0.10651612281799316,0.0005613117284680867,0.10611921548843384,0.1063176691532135,0.10651612281799316,0.10671457648277283,0.10691303014755249
late,GS,GPT,1.0,0.2072640061378479,,0.2072640061378479,0.2072640061378479,0.2072640061378479,0.2072640061378479,0.2072640061378479
late,NGNS,BERT,1.0,0.11055111885070801,,0.11055111885070801,0.11055111885070801,0.11055111885070801,0.11055111885070801,0.11055111885070801
late,NGNS,T5,1.0,0.10116660594940186,,0.10116660594940186,0.10116660594940186,0.10116660594940186,0.10116660594940186,0.10116660594940186
late,a,GPT,1.0,0.11612838506698608,,0.11612838506698608,0.11612838506698608,0.11612838506698608,0.11612838506698608,0.11612838506698608
late,a,T5,2.0,0.1670660376548767,0.011490663896919084,0.15894091129302979,0.16300347447395325,0.1670660376548767,0.17112860083580017,0.17519116401672363
late,v,GPT,1.0,0.11261576414108276,,0.11261576414108276,0.11261576414108276,0.11261576414108276,0.11261576414108276,0.11261576414108276
late,v,T5,2.0,0.19955745339393616,0.12580315874265185,0.11060118675231934,0.15507932007312775,0.19955745339393616,0.24403558671474457,0.288513720035553
last,GNS,BERT,1.0,0.1583971381187439,,0.1583971381187439,0.1583971381187439,0.1583971381187439,0.1583971381187439,0.1583971381187439
last,GNS,GPT,3.0,0.16136940320332846,0.07092236506514213,0.10955405235290527,0.12095487117767334,0.1323556900024414,0.18727707862854004,0.24219846725463867
last,GNS,T5,2.0,0.10799255967140198,0.007911764255616517,0.1023980975151062,0.10519532859325409,0.10799255967140198,0.11078979074954987,0.11358702182769775
last,GS,BERT,3.0,0.1135585109392802,0.005662525394822599,0.11020994186401367,0.1102895736694336,0.11036920547485352,0.11523279547691345,0.12009638547897339
last,GS,GPT,2.0,0.14123937487602234,0.018352465862432207,0.1282622218132019,0.13475079834461212,0.14123937487602234,0.14772795140743256,0.15421652793884277
last,GS,T5,2.0,0.11539149284362793,0.0005591200923455202,0.11499613523483276,0.11519381403923035,0.11539149284362793,0.11558917164802551,0.1157868504524231
last,NGNS,GPT,2.0,0.15293148159980774,0.05461493997162926,0.11431288719177246,0.1336221843957901,0.15293148159980774,0.17224077880382538,0.19155007600784302
last,NGNS,T5,2.0,0.27089160680770874,0.20192689991484566,0.1281077265739441,0.19949966669082642,0.27089160680770874,0.34228354692459106,0.4136754870414734
last,a,GPT,1.0,0.11459553241729736,,0.11459553241729736,0.11459553241729736,0.11459553241729736,0.11459553241729736,0.11459553241729736
last,a,T5,2.0,0.12888649106025696,0.0218811686071583,0.11341416835784912,0.12115032970905304,0.12888649106025696,0.13662265241146088,0.1443588137626648
last,v,BERT,1.0,0.1877678632736206,,0.1877678632736206,0.1877678632736206,0.1877678632736206,0.1877678632736206,0.1877678632736206
